"PCN Number","Publish Date","PCN Title","Key Characteristics",4M,"Product Categories",Abstract
111762-00,"2012/09/21 22:00:00","Chassis Electrical Maintenance Kit FUPLESK for Intel(R) Server Chassis P4000L and Full Length General-Purpose computing on Graphics Processing Units (GPGPU) Support Bracket AUPLGPUBR, PCN 111762-00, Product Material, Update Power and Serial Cables","Product Material",Material,"Server Boards and Platforms","Server Boards and Platforms, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
111699-00,"2012/09/20 22:00:00","Intel(R) Ethernet Controller X540-AT2, Tray, Intel(R) Ethernet Controller X540-BT2, Tray (Twinville), PCN 111699-00, Transport Media, Tray change","Transport Media",Material,"Networking Products","Networking Products, Transport Media, Intel anticipates no impact to customers, see PCN detail for further information."
111764-00,"2012/09/20 22:00:00","Intel(R) Desktop Board DZ77SL-50K, Boxed & Bulk, PCN 111764-00, Product Design, BIOS Update","Product Design","Material, Method","Desktop Boards","Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111662-01,"2012/09/19 22:00:00","Intel(R) RAID Expander Card RES2SV240, PCN 111662-01, Product Design, Firmware Update, Reason for Revision: Add Manufacturing Setting Change","Product Design","Material, Method","Intel® Server RAID Controllers","Intel® Server RAID Controllers, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111450-01,"2012/09/19 22:00:00","Intel(R) RAID Expander Card RES2SV240, PCN 111450-01, Product Design, Firmware Update, Reason for Revision: Update change details","Product Design","Material, Method","Intel® Server RAID Controllers","Intel® Server RAID Controllers, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
111754-00,"2012/09/19 22:00:00","Intel(R) Server System H2216JFQJR, H2312WPJR, and H2312WPQJR, PCN 111754-00, Product Design, Baseboard Management Controller (BMC) Chip Update","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111763-00,"2012/09/18 22:00:00","Intel(R) Desktop Board DQ77KB, Boxed & Bulk, PCN 111763-00, Product Design, BIOS Update","Product Design","Material, Method","Desktop Boards","Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111643-01,"2012/09/17 22:00:00","Intel(R) Centrino(R) Advanced-N 6205 and Intel(R) Centrino(R) Ultimate-N 6300 SKUs: 62205AN.HMWG; 633AN.HMWG, PCN 111643-01, Label, Add Intel tracking number to labels, Reason for Revision: Update label artwork to include additional number.",Label,"Machine, Material","Networking Products, Wireless Products","Networking Products, Wireless Products, Label, Intel anticipates no impact to customers, see PCN detail for further information."
111747-00,"2012/09/13 22:00:00","Intel(R) Desktop Board DZ68BC, Boxed and Bulk, PCN 111747-00, Product Design, BIOS Update","Product Design","Material, Method","Desktop Boards","Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111587-02,"2012/09/13 22:00:00","Intel(R) SSD 910 Series (400GB, 800GB), PCN 111587-02, Product Design, Firmware Update, Reason for Revision: Firmware Version Update","Product Design","Material, Method","Flash Memory Products","Flash Memory Products, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111719-01,"2012/09/13 22:00:00","Intel(R) Desktop Board DN2800MT, Boxed & Bulk, PCN 111719-01, Product Design, BIOS Update, Reason for Revision: Change BIOS From 0158 to 0159","Product Design","Material, Method","Desktop Boards","Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111723-00,"2012/09/12 22:00:00","Intel(R) Server Chassis P4304XXSHCN, PCN 111723-00, Product Design, Label, Updated Printed Circuit Board, Cables, and Labels","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111735-00,"2012/09/11 22:00:00","Full Length GPGPU support bracket AUPMGPUBR, Single, PCN 111735-00, Product Material, Power cable change","Product Material",Material,"Server Boards and Platforms","Server Boards and Platforms, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
111730-00,"2012/09/10 22:00:00","Intel(R) Server Board BBS2600JFF, PCN 111730-00, Product Design, On Board Firmware Update","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111734-00,"2012/09/07 22:00:00","Intel(R) Server Chassis P4304XXSHDN, PCN 111734-00, Product Design, FRU package (Field Replaceable Units) to HSBP(Hot Swappable Back Plane)","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
110998-02,"2012/09/07 22:00:00","Intel(R) 413808, 413812 SAS/SATA Controllers, Intel(R) 81341, 81342, 81348 I/O Processors, PCN 110998-02, Product Discontinuance, Reason for Revision: Remove Pre-Conversion Product Table from ""Products Affected / Intel Ordering Codes""","Product Discontinuance",,"Embedded Processors","Embedded Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
111610-01,"2012/09/06 22:00:00","Intel(R) SSD 320 Series (120GB, 160GB, 300GB, 600GB)
Intel(R) SSD 710 Series (100GB, 200GB, 300GB), PCN 111610-01, Product Material, SDRAM Supplier Change, Reason for Revision: Correct SDRAM Replacement Part #","Product Material",Material,"Flash Memory Products","Flash Memory Products, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
111627-01,"2012/09/04 22:00:00","Intel(R) Desktop Board DH67CL, Boxed and Bulk, PCN 111627-01, Product Design, BIOS Update, Reason for Revision: Implementation Date Change","Product Design","Material, Method","Desktop Boards","Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111728-00,"2012/09/02 22:00:00","Boxed Intel(R) Desktop Board D425KT, Entry Level Desktop PC, Boxed Intel(R) Desktop Board D425KT, Entry Level Desktop PC, 10 Pack, Intel(R) Desktop Board D425KT, Entry Level Desktop PC, Intel(R) Desktop Board D425KT, Entry Level Desktop PC, Reduced T&C, I","Product Discontinuance",,"Desktop Boards","Desktop Boards, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
111729-00,"2012/09/02 22:00:00","Boxed Intel(R) Desktop Board D525MW, Entry Level Desktop PC, Boxed Intel(R) Desktop Board D525MW, Entry Level Desktop PC, 10 Pack, Boxed Intel(R) Desktop Board D525MWV, Entry Level Desktop PC, 10 Pack, Boxed  Intel(R) Desktop Board D525MWV, Entry Level De","Product Discontinuance",,"Desktop Boards","Desktop Boards, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
111623-01,"2012/08/30 22:00:00","Intel(R) Desktop Board DH67BL, Boxed and Bulk, PCN 111623-01, Product Design, BIOS Update, Reason for Revision: Implementation Date Change","Product Design","Material, Method","Desktop Boards","Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111628-01,"2012/08/30 22:00:00","Intel(R) Desktop Board DH67GD, Boxed and Bulk, PCN 111628-01, Product Design, BIOS Update, Reason for Revision: Implementation Date Change","Product Design","Material, Method","Desktop Boards","Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111626-01,"2012/08/30 22:00:00","Boxed Intel(R) Desktop Board DH67CF, Boxed and Bulk, PCN 111626-01, Product Design, BIOS Update, Reason for Revision: Implementation Date Change & Add USB 3.0 Circuitry Update","Product Design","Material, Method","Desktop Boards","Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111694-00,"2012/08/27 22:00:00","Intel(R) SSD 711 Series (32GB & 64GB, 34nm), PCN 111694-00, Product Discontinuance","Product Discontinuance",,"Flash Memory Products","Flash Memory Products, Product Discontinuance, Intel anticipates no impact to customers, see PCN detail for further information."
111717-00,"2012/08/24 22:00:00","Intel(R) Server Boards S2600GL4 and S2600GZ4, PCN 111717-00, Product Design, Update BIOS/ME/BMC/FRUSDR firmware","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
111708-00,"2012/08/23 22:00:00","Intel(R) Server System P4304BTLSFCNR, PCN 111708-00, Product Design, Update Cables","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111460-01,"2012/08/21 22:00:00","Intel(R) Server Board S2600GZ4, PCN 111460-01, Product Design, BIOS and Manageability Engine Firmware Update, Reason for Revision: Incorrect TA# provided on original PCN.","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
111652-01,"2012/08/21 22:00:00","Intel(R) Server System R2208GZ4GC, R2308GZ4GC, R2312GL4GS and R2312GZ4GC4, PCN 111652-01, Product Design, Product Material, Update 2U Rear Panel, Reason for Revision: Adding additional product to change.","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111637-01,"2012/08/20 22:00:00","Intel(R) Core¬ i7-2657M, i7-2617M, 
i7-2649M, i7-2629M Tray Processors and 
i7-2760QM, i7-2860QM Boxed Processors, PCN 111637-01, Product Discontinuance, Reason for Revision: Skus already Discontinued on PCN 111553-00","Product Discontinuance",,"Mobile Processors","Mobile Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
111693-00,"2012/08/17 22:00:00","Intel(R) Desktop Board DH61DL, Boxed and Bulk, PCN 111693-00, Product Design, BIOS Update","Product Design","Material, Method","Desktop Boards","Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111689-00,"2012/08/16 22:00:00","Intel(R) Internal SAS Expander Card RES2CV240 and RES2CV360, PCN 111689-00, Product Design, Update Firmware","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
111655-00,"2012/08/15 22:00:00","Boxed Intel(R) Desktop and Server Processors Heatsink and Fan Shroud Design Changes, PCN 111655-00, Product Material","Product Material",Material,"Desktop Processors, Server Processors","Desktop Processors, Server Processors, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
111687-00,"2012/08/15 22:00:00","Intel(R) Server System SC5650HCBRPR and SC5650HCBRPRNA, PCN 111687-00, Product Design, Update BIOS, BMC, and FRUSDR","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Software Change."
111688-00,"2012/08/15 22:00:00","Intel(R) Desktop Board DH61AG, Boxed and Bulk, PCN 111688-00, Product Material, Change to NEC USB 3.0 Stepping","Product Material",Material,"Desktop Boards","Desktop Boards, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
111665-00,"2012/08/14 22:00:00","Intel(R) Desktop Board DH61SA Boxed and Bulk, PCN 111665-00, Product Design, BIOS Update","Product Design","Material, Method","Desktop Boards","Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111685-00,"2012/08/14 22:00:00","Intel(R) Server Chassis P4304XXSFDR, PCN 111685-00, Product Design, Update Power Supply","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
111668-00,"2012/08/14 22:00:00","Intel(R) Desktop Board DH61WW, Boxed and Bulk, PCN 111668-00, Product Design, BIOS Update","Product Design","Material, Method","Desktop Boards","Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111669-00,"2012/08/14 22:00:00","Intel(R) Desktop Board DH61CR, Boxed and Bulk, PCN 111669-00, Product Design, BIOS Update","Product Design","Material, Method","Desktop Boards","Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111686-00,"2012/08/14 22:00:00","Intel(R) Server Board S2600IP4 and Intel(R) Workstation Board W2600CR2, PCN 111686-00, Product Design, Update BIOS/ME/BMC/FRUSDR firmware; Add eUSB Stand-off","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
111670-00,"2012/08/14 22:00:00","Intel(R) Desktop Board DH61BE, Boxed and Bulk, PCN 111670-00, Product Design, BIOS Update","Product Design","Material, Method","Desktop Boards","Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111674-00,"2012/08/10 22:00:00","Intel(R) Ethernet Server Adapter X520-DA1OCP (Davis Flat)   FBKX520DA1OCP MM# 922586, PCN 111674-00, Label, Remove label covering CE mark on PBA, Update 3n1 label, Change ESD Label, and add label",Label,"Machine, Material","Networking Products","Networking Products, Label, Intel anticipates no impact to customers, see PCN detail for further information."
111645-00,"2012/08/09 22:00:00","Intel(R) Server Board S2400SC2,, PCN 111645-00, Product Design, Product Material, BIOS update and Chipset change.","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111660-00,"2012/08/08 22:00:00","Intel(R) CoreT i7-2630QM & i7-2670QM, i7-2635QM &
 i7-2675QM Processors, PCN 111660-00, Product Discontinuance","Product Discontinuance",,"Mobile Processors","Mobile Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
111584-00,"2012/08/08 22:00:00","Intel(R) Server System R1304BTLSFANR, R1304BTLSHBNR and R1304BTSSFANR, PCN 111584-00, Product Material, Chassiss Modified to support AXXPRAIL","Product Material",Material,"Server Boards and Platforms","Server Boards and Platforms, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
111666-00,"2012/08/07 22:00:00","Intel(R) Workstation System P4304CR2LFJN, PCN 111666-00, Product Material, Update Video Power Cable and Serial Cable.","Product Material",Material,"Server Boards and Platforms","Server Boards and Platforms, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
111581-00,"2012/08/06 22:00:00","Intel(R) Core¬ Processors i5-2380P / i5-2450P / i5-2550K, PCN 111581-00, Product Discontinuance, for Tray & Boxed","Product Discontinuance",,"Desktop Processors","Desktop Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
111620-00,"2012/08/06 22:00:00","Intel(R) Integrated RAID Module RMS25PB080N and RMS25CB080N, PCN 111620-00, Product Design, Firmware Update","Product Design","Material, Method","Intel® Server RAID Controllers","Intel® Server RAID Controllers, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
111638-00,"2012/08/03 22:00:00","Intel(R) Centrino(R) Wireless-N 2230 SKUs: 2230BN.HMWG; 2230BN.HMWWB, PCN 111638-00, Label, Add new manufacturing Site Code",Label,"Machine, Material","Networking Products, Wireless Products","Networking Products, Wireless Products, Label, Intel anticipates no impact to customers, see PCN detail for further information."
111664-00,"2012/08/02 22:00:00","Intel RAID Controllers RS2VB040 and RS2VB080, PCN 111664-00, Documentation, Product Material, Replacing SAS cable and Firmware Update",Documentation,,"Intel® Server RAID Controllers","Intel® Server RAID Controllers, Documentation, Intel anticipates no impact to customers, see PCN detail for further information."
111611-00,"2012/08/01 22:00:00","Intel(R) X-GOLD 116 PMB8805V2.0, Intel(R) X-GOLD 118 PMB8808V2.0, Intel(R) X-GOLD 213 PMB8810V2.0, Intel(R) X-GOLDTM 213  PMB8810V2.1S, PCN 111611-00, Manufacturing Site, STATS as a new assembly source for eWLB packages,","Manufacturing Site","Machine, Man","Chipsets - Mobile IMC","Chipsets - Mobile IMC, Manufacturing Site, Intel anticipates no impact to customers, see PCN detail for further information."
111659-00,"2012/08/01 22:00:00","Intel(R) Solid State Drive 910 - 400GB, Intel(R) Solid State Drive 910 - 800GB, PCN 111659-00, Product Design","Product Design","Material, Method","Flash Memory Products","Flash Memory Products, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111656-00,"2012/08/01 22:00:00","Intel 10 Gigabit CX4 Dual Port Server Adapter OEM Gen (Cedar Cove) EXPX9502CX4G1P5 MM# 895800, Intel PRO/1000 GT Dual Port Server Adapter OEM Gen (Double Barrow) PWLA8492GTG2L20 MM# 885972 and PWLA8492GTG2P20 MM# 885846, Intel PRO/1000 MF Dual Port Server","Product Discontinuance",,"Networking Products","Networking Products, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
111648-00,"2012/07/30 22:00:00","Intel(R) Desktop Board DQ67SW, Boxed and Bulk, PCN 111648-00, Product Design, BIOS Update","Product Design","Material, Method","Desktop Boards","Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111617-00,"2012/07/30 22:00:00","Intel(R) Server Board S2600CP, PCN 111617-00, Product Design, Product Design, Update BIOS/BMC Firmware","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111647-00,"2012/07/30 22:00:00","Intel(R) Server Board S2600GL4 and S2600GZ4, PCN 111647-00, Documentation, Adding California Perchlorate Statement",Documentation,,"Server Boards and Platforms","Server Boards and Platforms, Documentation, Regulatory Requirements."
111649-00,"2012/07/30 22:00:00","Intel(R) Desktop Board DQ67EP, Boxed and Bulk, PCN 111649-00, Product Design, BIOS Update","Product Design","Material, Method","Desktop Boards","Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111615-00,"2012/07/30 22:00:00","Intel(R) Server System R2312GZ4GC4,, PCN 111615-00, Product Material, Cable change","Product Material",Material,"Server Boards and Platforms","Server Boards and Platforms, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
111564-03,"2012/07/27 22:00:00","Intel(R) Server Board S2600JF series, and Intel(R) Server System H2000JF series, PCN 111564-03, Product Design, On Board Firmware Update, Add Second Source, Reason for Revision: Customer available date change, combining more changes","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111650-00,"2012/07/27 22:00:00","Intel(R) Processors and Chipsets, PCN 111650-00, Product Material","Product Material",Material,"Embedded Processors, Mobile Processors, Chipsets - Mobile","Chipsets - Mobile, Embedded Processors, Mobile Processors, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
111614-00,"2012/07/27 22:00:00","Intel(R) Centrino(R) Advanced-N 6205 and Intel(R) Centrino(R) Wireless-N 2200 SKUs: 62205ANHMWDTX1H; 2200BNHMWDTX1H, PCN 111614-00, Product Material, Add LH Cable, Add LH marking on label, Update Packaging Lid","Product Material",Material,"Networking Products, Wireless Products","Networking Products, Wireless Products, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
111633-00,"2012/07/27 22:00:00","Intel(R) Server Board S2600CO, Update BIOS/ME/BMC/FRUSDR firmware; Add eUSB Stand-off and Change onboard R2A25 part, PCN 111633-00, Documentation, Product Design",Documentation,,"Server Boards and Platforms","Server Boards and Platforms, Documentation, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
111612-00,"2012/07/27 22:00:00","Intel(R) Centrino(R) Advanced-N 6205 and Intel(R) Centrino(R) Wireless-N 2200 SKUs: 62205ANHMWDTX1; 2200BNHMWDTX1, PCN 111612-00, Product Material, Add LH Cable, Update Packaging Lid, DVD and Label Document","Product Material",Material,"Networking Products, Wireless Products","Networking Products, Wireless Products, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
111635-00,"2012/07/27 22:00:00","Intel(R) Server System R2000IP, Change Power Supply bracket, Add rubber for air duct, Update the regulation label, PCN 111635-00, Documentation, Product Design",Documentation,,"Server Boards and Platforms","Server Boards and Platforms, Documentation, Intel anticipates no impact to customers, see PCN detail for further information."
111613-00,"2012/07/27 22:00:00","Intel(R) Centrino(R) Advanced-N 6205 and Intel(R) Centrino(R) Wireless-N 2200 SKUs: 62205ANHMWDTX1G; 2200BNHMWDTX1G, PCN 111613-00, Product Material, Add LH Cable, Update Packaging Lid","Product Material",Material,"Networking Products, Wireless Products","Networking Products, Wireless Products, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
111646-00,"2012/07/26 22:00:00","Intel(R) Desktop Board DQ67OW, Boxed and Bulk, PCN 111646-00, Product Design, BIOS Update","Product Design","Material, Method","Desktop Boards","Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111605-00,"2012/07/25 22:00:00","Intel(R) Server System R1000GZ/GL family, R2000GZ/GL family, P4000IP/GP/SC/CP family ; Intel (R) Workstation System P4000CR family; Intel (R) Server Chassis P4000L/M/S family  and Intel (R) Power Supply FXX750PCRPS, PCN 111605-00, Product Design, Product","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111618-00,"2012/07/23 22:00:00","Intel(R) Server System R1208GZ4GC, R1304GZ4GC, R2208GZ4GC, R2308GZ4GC and R2312GZ4GC4, PCN 111618-00, Product Design, System Top Cover Updated and Changing BBU Bracket Length,  Update the BIOS and Manageability Engine","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111624-00,"2012/07/23 22:00:00","Intel(R) Server System R2208GZ4GC and R2308GZ4GC, PCN 111624-00, Product Design, Update BIOS, Manageability Engine Firmware","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
111619-00,"2012/07/18 22:00:00","Intel(R) Server System P4308IP4LHJCL, Intel(R) Workstation System P4304CR2LFJNL and Mainboard spare, Product Discontinuance announcement, PCN 111619-00, Product Discontinuance","Product Discontinuance",,"Server Boards and Platforms","Server Boards and Platforms, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
111385-02,"2012/07/12 22:00:00","Intel(R) Integrated RAID Module RMS25PB080, RMS25PB040, RMT3PB080, RMS25CB080, RMS25CB040, and RMT3CB080, PCN 111385-02, Product Design, Product Design, Heatsink Update, Attention Document Update, Quick Start User's Guide Update, Board-to-board Connector","Product Design","Material, Method","Intel® Server RAID Controllers","Intel® Server RAID Controllers, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
111513-01,"2012/07/12 22:00:00","Intel(R) Integrated RAID Module RMS25PB080, RMS25PB040, RMT3PB080, RMS25CB080, RMS25CB040, and RMT3CB080, PCN 111513-01, Product Design, Hardware Design Change, Reason for Revision: Update Milestone, Pre Change TA and PBA","Product Design","Material, Method","Intel® Server RAID Controllers","Intel® Server RAID Controllers, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
111599-00,"2012/07/12 22:00:00","Intel(R) Desktop Board DQ77KB, Boxed and Bulk, PCN 111599-00, Product Design, Capacitor Removal and Change to Customize Front Panel USB Header","Product Design","Material, Method","Desktop Boards","Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111588-00,"2012/07/10 22:00:00","Intel 10 Gigabit XF SR/LR Server Adapters (Bellefontaine OEM generic/Retail)  EXPX9501FXSRGP5 MM# 893132, EXPX9501AFXSR MM# 893264,  EXPX9501AFXLR MM# 895898 and Intel 10 Gigabit XF SR Dual Port Server Adapters (Green Fountain OEM generic/Retail)  EXPX950","Product Discontinuance",,"Networking Products","Networking Products, Product Discontinuance, Customers to place future orders using new order code, see details in PCN."
111593-00,"2012/07/10 22:00:00","Intel(R) Centrino(R) Wireless-N 2230 SKUs: 2230BN.HMWG; 2230BN.HMWWB, PCN 111593-00, Label, OUI Update",Label,"Machine, Material","Networking Products, Wireless Products","Networking Products, Wireless Products, Label, Intel anticipates no impact to customers, see PCN detail for further information."
111586-00,"2012/07/09 22:00:00","Intel(R) Integrated RAID Module RMS25PB080, RMS25PB040, RMT3PB080, RMS25CB080, RMS25CB040, and RMT3CB080, PCN 111586-00, Product Design, Firmware Update","Product Design","Material, Method","Intel® Server RAID Controllers","Intel® Server RAID Controllers, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
111566-00,"2012/07/09 22:00:00","Intel(R) Integrated RAID Module RMS25KB080, RMS25KB040, RMS25JB080, and RMS25JB040, PCN 111566-00, Product Design, Firmware Update","Product Design","Material, Method","Intel® Server RAID Controllers","Intel® Server RAID Controllers, Product Design, Customers may want to perform re-qualification, re-test, re-certification or standard validation testing for this change; see sample detail in PCN where applicable."
111592-00,"2012/07/06 22:00:00","Intel(R) Server Board S2600WP series and Intel(R) Server System H2000WP series, PCN 111592-00, Product Design, Product Design, On Board Firmware Update, Add Second Source","Product Design","Material, Method","Server Boards and Platforms","Server Boards and Platforms, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111583-00,"2012/07/02 22:00:00","Intel(R) Server System SC5650HCBRPR, PCN 111583-00, Product Material, Updating the CPU Protective Cover","Product Material",Material,"Server Boards and Platforms","Server Boards and Platforms, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
111574-00,"2012/07/02 22:00:00","Intel(R) HM57, PM55 & QS57 Express Chipsets, PCN 111574-00, Product Discontinuance","Product Discontinuance",,"Chipsets - Mobile","Chipsets - Mobile, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
111575-00,"2012/07/02 22:00:00","Intel(R) HM55 & QM57 Express Chipsets, PCN 111575-00, Product Support, Transitioning from Intel Architecture to Embedded Architecture","Product Support",,"Chipsets - Mobile","Chipsets - Mobile, Product Support, Product transitioning from Intel Architecture to Embedded Intel Architecture."
111589-00,"2012/06/29 22:00:00","Intel RAID Controllers RS25AB080 and RS25SB008, PCN 111589-00, Product Support, Product Support, Firmware Update","Product Support",,"Intel® Server RAID Controllers","Intel® Server RAID Controllers, Product Support, Software Change."
111569-00,"2012/06/27 22:00:00","Intel(R) BD82xxx Express Chipsets, PCN 111569-00, Label, Country of Origin (COO) Label Adding Vietnam",Label,"Machine, Material","Chipsets - Desktop, Chipsets - Workstation Server, Chipsets - Mobile","Chipsets - Desktop, Chipsets - Mobile, Chipsets - Workstation Server, Label, Intel anticipates no impact to customers, see PCN detail for further information."
111578-00,"2012/06/26 22:00:00","Intel(R) Desktop Board DH61HO, Boxed and Bulk, PCN 111578-00, Product Design, Product Material, BIOS Update and PCH Stepping Conversion","Product Design","Material, Method","Desktop Boards","Desktop Boards, Product Design, Intel anticipates no impact to customers, see PCN detail for further information."
111414-00,"2012/06/26 22:00:00","Intel(R) AtomTM Z2460 Processor, PCN 111414-00, Product Material, Change from black barrier color to white barrier using inkjet process","Product Material",Material,"Ultra Mobility","Ultra Mobility, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
111579-00,"2012/06/26 22:00:00","Intel(R) Desktop Board D2500CC, Boxed and Bulk, PCN 111579-00, Product Material, Heatsink Change","Product Material",Material,"Desktop Boards","Desktop Boards, Product Material, Intel anticipates no impact to customers, see PCN detail for further information."
111577-00,"2012/06/25 22:00:00","Boxed Intel(R) Core¬ i7-2720QM & i7-2820QM Processors, PCN 111577-00, Product Discontinuance","Product Discontinuance",,"Mobile Processors","Mobile Processors, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
111260-03,"2012/06/24 22:00:00","Intel(R) SMARTi SD2, PMB6271.V1.1, PCN 111260-03, Product Discontinuance, Reason for Revision: Milestone dates are being changed from the original PCN publication.","Product Discontinuance",,"Chipsets - Mobile IMC","Chipsets - Mobile IMC, Product Discontinuance, Please determine your remaining demand for these products and place your last product discontinuance orders in accordance with the key milestones in the PCN."
